Token --> const        : (30, 0)
Token --> int          : (33, 0)
Token --> max          : (4, max)
Token --> operator     : (23, 0)
Token --> number       : (5, 500)
Token --> void         : (35, 0)
Token --> main         : (4, main)
Token --> operator     : (7, 0)
Token --> operator     : (8, 0)
Token --> operator     : (37, 0)
Token --> int          : (33, 0)
Token --> i            : (4, i)
Token --> operator     : (14, 0)
Token --> j            : (4, j)
Token --> operator     : (14, 0)
Token --> k            : (4, k)
Token --> semicolon    : (20, 0)
Token --> int          : (33, 0)
Token --> rem          : (4, rem)
Token --> operator     : (14, 0)
Token --> sum          : (4, sum)
Token --> semicolon    : (20, 0)
Token --> i            : (4, i)
Token --> operator     : (23, 0)
Token --> number       : (5, 2)
Token --> while        : (36, 0)
Token --> operator     : (7, 0)
Token --> i            : (4, i)
Token --> operator     : (22, 0)
Token --> max          : (4, max)
Token --> operator     : (8, 0)
Token --> operator     : (37, 0)
Token --> sum          : (4, sum)
Token --> operator     : (23, 0)
Token --> number       : (5, 0)
Token --> k            : (4, k)
Token --> operator     : (23, 0)
Token --> i            : (4, i)
Token --> operator     : (18, 0)
Token --> number       : (5, 2)
Token --> j            : (4, j)
Token --> operator     : (23, 0)
Token --> number       : (5, 1)
Token --> while        : (36, 0)
Token --> operator     : (7, 0)
Token --> j            : (4, j)
Token --> operator     : (22, 0)
Token --> k            : (4, k)
Token --> operator     : (8, 0)
Token --> operator     : (37, 0)
Token --> rem          : (4, rem)
Token --> operator     : (23, 0)
Token --> i            : (4, i)
Token --> operator     : (2, 0)
Token --> j            : (4, j)
Token --> semicolon    : (20, 0)
Token --> if           : (32, 0)
Token --> operator     : (7, 0)
Token --> rem          : (4, rem)
Token --> operator     : (24, 0)
Token --> number       : (5, 0)
Token --> sum          : (4, sum)
Token --> operator     : (13, 0)
Token --> j            : (4, j)
Token --> semicolon    : (20, 0)
Token --> operator     : (12, 0)
Token --> j            : (4, j)
Token --> semicolon    : (20, 0)
Token --> operator     : (39, 0)
Token --> if           : (32, 0)
Token --> operator     : (7, 0)
Token --> i            : (4, i)
Token --> operator     : (24, 0)
Token --> sum          : (4, sum)
Token --> operator     : (8, 0)
Token --> write        : (4, write)
Token --> operator     : (7, 0)
Token --> i            : (4, i)
Token --> operator     : (8, 0)
Token --> semicolon    : (20, 0)
Token --> operator     : (12, 0)
Token --> i            : (4, i)
Token --> semicolon    : (20, 0)
Token --> operator     : (39, 0)
Token --> operator     : (39, 0)
